epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,385.908,0.49111,0.26426,0.84086,0.95096,0.92115,0.96306,0.76857,0.76378,0.37013,1.00696,0.000460097,0.000460097,0.000460097
96,420.928,0.49311,0.26102,0.84461,0.94534,0.91877,0.96352,0.77233,0.78269,0.37682,1.01227,0.000457895,0.000457895,0.000457895
97,455.695,0.48825,0.25824,0.83971,0.95273,0.91309,0.96062,0.78104,0.75085,0.3682,0.99903,0.000455694,0.000455694,0.000455694
98,490.921,0.47497,0.25103,0.83479,0.94185,0.927,0.96626,0.77841,0.76478,0.36672,1.00642,0.000453493,0.000453493,0.000453493
99,525.936,0.47911,0.25236,0.83911,0.95121,0.91834,0.96359,0.77529,0.76438,0.36175,1.01086,0.000451292,0.000451292,0.000451292
100,560.705,0.47668,0.25273,0.84077,0.95304,0.91816,0.96456,0.77394,0.76419,0.36951,1.00999,0.000449091,0.000449091,0.000449091
101,595.765,0.50162,0.26502,0.84513,0.95257,0.90729,0.95951,0.76882,0.76024,0.37624,1.0049,0.00044689,0.00044689,0.00044689
102,630.864,0.51183,0.26736,0.85256,0.94391,0.91468,0.96026,0.77055,0.75717,0.36593,1.00121,0.000444689,0.000444689,0.000444689
103,665.855,0.50665,0.26663,0.84986,0.9469,0.91358,0.95872,0.7587,0.78508,0.38065,1.01394,0.000442488,0.000442488,0.000442488
104,700.821,0.51208,0.26653,0.84785,0.94638,0.91498,0.96581,0.76805,0.77408,0.36981,1.00809,0.000440287,0.000440287,0.000440287
105,736.311,0.52398,0.27426,0.85504,0.9502,0.9057,0.96293,0.77221,0.76023,0.37239,1.00455,0.000438086,0.000438086,0.000438086
106,771.559,0.52715,0.27811,0.85805,0.93,0.92592,0.96249,0.76916,0.76479,0.37134,1.0049,0.000435884,0.000435884,0.000435884
107,806.574,0.53146,0.28017,0.85575,0.93378,0.92482,0.96259,0.76871,0.76064,0.36975,1.00836,0.000433683,0.000433683,0.000433683
108,841.552,0.51943,0.2724,0.85135,0.94124,0.92707,0.95927,0.76763,0.76347,0.37204,1.00415,0.000431482,0.000431482,0.000431482
108,34.6991,1.53501,2.41309,5.83674,0.93625,0.90823,0.94282,0.70488,0.80491,0.54334,1.02645,0.000431482,0.000431482,0.000431482
109,69.722,0.5366,0.37373,0.86763,0.92749,0.93435,0.95824,0.74572,0.75192,0.40763,0.9999,0.000429281,0.000429281,0.000429281
110,104.646,0.47518,0.29347,0.84336,0.93182,0.91992,0.95985,0.75552,0.75633,0.38375,1.00474,0.00042708,0.00042708,0.00042708
111,139.498,0.46268,0.27078,0.83588,0.94425,0.91905,0.96243,0.76146,0.76117,0.376,1.01161,0.000424879,0.000424879,0.000424879
112,174.951,0.44985,0.25789,0.83555,0.93744,0.92095,0.96294,0.76128,0.74925,0.37053,1.0101,0.000422678,0.000422678,0.000422678
113,209.747,0.44988,0.25531,0.83014,0.93453,0.92668,0.96096,0.76265,0.76123,0.37329,1.01275,0.000420477,0.000420477,0.000420477
114,35.1433,0.46286,0.25652,0.83867,0.95787,0.90721,0.96254,0.76877,0.75975,0.36576,1.01011,0.000418276,0.000418276,0.000418276
115,69.9073,0.43403,0.24554,0.8278,0.94166,0.92563,0.96095,0.77025,0.75194,0.36547,1.01376,0.000416075,0.000416075,0.000416075
116,104.903,0.43821,0.24617,0.82759,0.9519,0.91985,0.96441,0.76767,0.76563,0.36641,1.01743,0.000413873,0.000413873,0.000413873
117,139.683,0.44447,0.24171,0.82567,0.9484,0.92555,0.96524,0.77337,0.74754,0.35915,1.00774,0.000411672,0.000411672,0.000411672
118,174.412,0.43901,0.23609,0.82774,0.94964,0.91691,0.96415,0.77312,0.75653,0.36689,1.00946,0.000409471,0.000409471,0.000409471
119,209.395,0.43263,0.23653,0.82141,0.95455,0.92338,0.96621,0.7736,0.75208,0.35849,1.01265,0.00040727,0.00040727,0.00040727
120,244.992,0.44384,0.24039,0.83267,0.95918,0.91747,0.96524,0.77483,0.74487,0.35705,1.00702,0.000405069,0.000405069,0.000405069
121,280.071,0.44692,0.24314,0.83016,0.948,0.93099,0.96313,0.77613,0.74717,0.35347,1.00552,0.000402868,0.000402868,0.000402868
122,314.952,0.44068,0.24229,0.82723,0.95262,0.91279,0.96096,0.764,0.7686,0.36592,1.01627,0.000400667,0.000400667,0.000400667
123,350.464,0.43275,0.23807,0.82451,0.93585,0.9355,0.96426,0.77555,0.75341,0.36135,1.01027,0.000398466,0.000398466,0.000398466
124,385.909,0.44891,0.24388,0.82873,0.95596,0.91253,0.96385,0.7771,0.753,0.35735,1.00926,0.000396265,0.000396265,0.000396265
125,420.804,0.45183,0.24553,0.83245,0.94863,0.91715,0.96407,0.77466,0.759,0.35746,1.00911,0.000394064,0.000394064,0.000394064
126,455.776,0.43558,0.23888,0.82573,0.9466,0.92555,0.96316,0.77679,0.75163,0.35665,1.00793,0.000391862,0.000391862,0.000391862
127,490.903,0.43407,0.23522,0.82447,0.9538,0.91901,0.96238,0.776,0.74645,0.3581,1.00478,0.000389661,0.000389661,0.000389661
128,525.893,0.43302,0.23412,0.82707,0.95517,0.90892,0.96208,0.77849,0.73732,0.35705,1.00229,0.00038746,0.00038746,0.00038746
129,560.915,0.43584,0.23593,0.82836,0.93676,0.92609,0.96075,0.77452,0.75592,0.36263,1.00955,0.000385259,0.000385259,0.000385259
130,596.294,0.44317,0.24059,0.82809,0.94519,0.92593,0.96411,0.77577,0.7427,0.35286,1.00436,0.000383058,0.000383058,0.000383058
131,631.396,0.44688,0.23934,0.83238,0.94263,0.91678,0.95997,0.76804,0.76236,0.36676,1.01621,0.000380857,0.000380857,0.000380857
132,666.157,0.45588,0.24275,0.83293,0.94266,0.92583,0.96276,0.78015,0.7395,0.35159,1.00111,0.000378656,0.000378656,0.000378656
133,701.293,0.44163,0.23583,0.82906,0.9431,0.92308,0.96275,0.78231,0.74665,0.35589,1.00651,0.000376455,0.000376455,0.000376455
134,736.787,0.46332,0.24835,0.83499,0.94973,0.91745,0.9625,0.78185,0.75032,0.36163,1.00529,0.000374254,0.000374254,0.000374254
135,771.657,0.45958,0.24447,0.83491,0.94957,0.92685,0.96391,0.78214,0.74054,0.35149,0.99816,0.000372053,0.000372053,0.000372053
136,806.527,0.45781,0.24486,0.83196,0.93753,0.93098,0.96077,0.77352,0.74664,0.35753,1.00565,0.000369851,0.000369851,0.000369851
136,35.2323,0.42134,0.23078,0.82195,0.94868,0.92087,0.96233,0.78063,0.74744,0.35737,1.01181,0.000369851,0.000369851,0.000369851
137,70.6136,0.41565,0.22811,0.82097,0.94553,0.92123,0.96159,0.78296,0.74046,0.35679,1.01035,0.00036765,0.00036765,0.00036765
138,105.414,0.42814,0.23161,0.82232,0.93974,0.92285,0.96224,0.78121,0.73912,0.35743,1.0049,0.000365449,0.000365449,0.000365449
139,140.199,0.40705,0.22239,0.81584,0.95012,0.91564,0.9625,0.78211,0.74478,0.36177,1.01238,0.000363248,0.000363248,0.000363248
140,175.548,0.40152,0.21987,0.8173,0.94499,0.92284,0.96129,0.77624,0.75432,0.36552,1.01736,0.000361047,0.000361047,0.000361047
141,210.356,0.39136,0.21698,0.8108,0.93862,0.92784,0.96536,0.78416,0.73428,0.35475,1.0104,0.000358846,0.000358846,0.000358846
142,245.266,0.39592,0.21801,0.81787,0.95109,0.9208,0.96504,0.78233,0.7404,0.35659,1.01531,0.000356645,0.000356645,0.000356645
143,280.576,0.40888,0.22184,0.81824,0.94772,0.92756,0.96301,0.78653,0.73266,0.35093,1.00631,0.000354444,0.000354444,0.000354444
144,315.579,0.40866,0.22249,0.81707,0.94955,0.9253,0.96377,0.7775,0.75106,0.36251,1.01519,0.000352243,0.000352243,0.000352243
145,350.48,0.4026,0.22023,0.81559,0.93998,0.93398,0.9655,0.78283,0.74109,0.35312,1.01338,0.000350042,0.000350042,0.000350042
146,385.766,0.40623,0.22145,0.81614,0.95395,0.91904,0.96399,0.78766,0.73328,0.35496,1.00625,0.00034784,0.00034784,0.00034784
147,421.412,0.40707,0.22305,0.82046,0.93813,0.93204,0.96334,0.78034,0.74548,0.35974,1.01151,0.000345639,0.000345639,0.000345639
148,35.19,0.39111,0.21431,0.81246,0.95074,0.91828,0.96374,0.78489,0.73321,0.36278,1.01133,0.000343438,0.000343438,0.000343438
149,70.0068,0.3877,0.21408,0.81195,0.9545,0.92006,0.96329,0.78496,0.73202,0.35134,1.01201,0.000341237,0.000341237,0.000341237
150,104.776,0.38325,0.21369,0.81085,0.94386,0.92551,0.96036,0.78056,0.73715,0.35731,1.01489,0.000339036,0.000339036,0.000339036
