Class,Timestamp,x1,y1,x2,y2
Pterophyllum_Scalare_YWB,5.7,809,373,909,486
Pterophyllum_Scalare_Y,5.7,638,373,682,436
Pterophyllum_Scalare_BB,5.7,121,205,189,321
Pterophyllum_Scalare_Y,5.8,638,375,683,436
Pterophyllum_Scalare_BB,5.8,120,208,189,325
Ancistrus,5.8,543,667,681,718
Pterophyllum_Scalare_Y,5.8,1061,120,1124,187
Pterophyllum_Scalare_YWB,5.8,809,374,910,486
Pterophyllum_Scalare_BB,5.9,120,211,188,328
Ancistrus,5.9,539,667,680,718
Pterophyllum_Scalare_Y,5.9,637,374,682,436
Pterophyllum_Scalare_Y,5.9,1060,119,1124,186
Pterophyllum_Scalare_YWB,5.9,809,375,908,486
Pterophyllum_Scalare_BB,6.0,121,214,191,329
Pterophyllum_Scalare_Y,6.0,638,373,681,435
G_Matriarche,6.0,633,321,700,395
Pterophyllum_Scalare_Y,6.0,1060,119,1122,185
Pterophyllum_Scalare_YWB,6.0,809,376,907,486
G_Matriarche,6.1,638,330,708,400
Pterophyllum_Scalare_BB,6.1,121,215,190,330
Botia_Almorhae,6.1,94,336,145,403
Pterophyllum_Scalare_BB,6.1,625,255,659,313
Pterophyllum_Scalare_Y,6.1,1060,119,1123,184
Pterophyllum_Scalare_YWB,6.1,809,375,909,486
Pterophyllum_Scalare_W,6.2,637,372,682,436
Pterophyllum_Scalare_YWB,6.2,810,375,908,486
Pterophyllum_Scalare_BB,6.2,122,217,193,331
G_Matriarche,6.2,643,338,715,402
Pterophyllum_Scalare_Y,6.2,1058,119,1120,186
Botia_Almorhae,6.2,100,355,152,409
Pterophyllum_Scalare_W,6.3,636,373,682,435
Pterophyllum_Scalare_YWB,6.3,810,376,908,485
Pterophyllum_Scalare_Y,6.3,1059,117,1117,187
Pterophyllum_Scalare_BB,6.3,123,220,192,332
G_Matriarche,6.3,650,344,725,406
Botia_Almorhae,6.3,103,369,161,411
Pterophyllum_Scalare_B,6.3,761,476,798,546
G_Matriarche,6.4,658,350,733,409
Pterophyllum_Scalare_W,6.4,636,373,681,434
Pterophyllum_Scalare_YWB,6.4,810,376,907,485
Pterophyllum_Scalare_Y,6.4,1056,117,1114,188
Botia_Almorhae,6.4,108,375,172,414
Pterophyllum_Scalare_BB,6.4,125,220,193,334
Pterophyllum_Scalare_B,6.4,763,476,799,548
G_Matriarche,6.5,666,351,742,412
Pterophyllum_Scalare_B,6.5,763,476,800,549
Botia_Almorhae,6.5,123,377,187,414
Pterophyllum_Scalare_BB,6.5,127,222,195,335
Pterophyllum_Scalare_W,6.5,635,371,681,435
Pterophyllum_Scalare_YWB,6.5,810,376,908,485
Pterophyllum_Scalare_Y,6.5,1056,119,1111,186
Pterophyllum_Scalare_Y,6.6,1054,120,1115,186
Pterophyllum_Scalare_W,6.6,631,372,682,436
Pterophyllum_Scalare_BB,6.6,129,224,191,334
Pterophyllum_Scalare_B,6.6,763,475,801,548
G_Matriarche,6.6,681,359,747,416
Pterophyllum_Scalare_YWB,6.6,810,377,908,486
G_Matriarche,6.7,689,359,754,423
Pterophyllum_Scalare_B,6.7,763,475,801,545
Pterophyllum_Scalare_Y,6.7,1055,119,1112,188
Pterophyllum_Scalare_YWB,6.7,810,378,909,487
Pterophyllum_Scalare_W,6.7,629,373,681,435
Pterophyllum_Scalare_BB,6.7,129,227,187,334
Pterophyllum_Scalare_BB,6.8,129,230,185,330
Pterophyllum_Scalare_W,6.8,627,374,680,436
Pterophyllum_Scalare_B,6.8,763,474,803,548
G_Matriarche,6.8,678,350,721,392
Botia_Almorhae,6.8,147,378,218,423
Pterophyllum_Scalare_Y,6.8,1056,120,1113,189
Pterophyllum_Scalare_YWB,6.8,811,378,908,487
Corydoras_Panda,6.9,990,540,1039,587
G_Matriarche,6.9,691,358,726,391
Pterophyllum_Scalare_B,6.9,764,473,805,547
Pterophyllum_Scalare_Y,6.9,1057,122,1112,189
Pterophyllum_Scalare_W,6.9,623,375,679,435
Pterophyllum_Scalare_YWB,6.9,812,378,912,489
Pterophyllum_Scalare_BB,6.9,129,232,185,330
Pterophyllum_Scalare_BB,7.0,129,234,183,329
Pterophyllum_Scalare_Y,7.0,1056,123,1117,190
Pterophyllum_Scalare_B,7.0,763,473,806,546
G_Matriarche,7.0,725,365,761,436
Pterophyllum_Scalare_W,7.0,621,375,677,436
Pterophyllum_Scalare_YWB,7.0,810,378,907,490
Pterophyllum_Scalare_YWB,7.1,805,380,904,490
Pterophyllum_Scalare_W,7.1,620,376,674,435
Pterophyllum_Scalare_Y,7.1,1057,124,1114,189
Pterophyllum_Scalare_BB,7.1,128,236,181,332
Pterophyllum_Scalare_B,7.1,765,472,808,543
G_Matriarche,7.1,735,365,765,442
Pterophyllum_Scalare_YWB,7.2,803,381,905,490
Pterophyllum_Scalare_W,7.2,618,375,672,435
Botia_Almorhae,7.2,181,355,257,433
G_Matriarche,7.2,746,369,772,446
Pterophyllum_Scalare_B,7.2,766,472,810,541
Pterophyllum_Scalare_Y,7.2,1059,126,1117,191
Pterophyllum_Scalare_BB,7.2,128,237,178,331
Pterophyllum_Scalare_YWB,7.3,800,382,903,490
Pterophyllum_Scalare_Y,7.3,1060,126,1117,190
Botia_Almorhae,7.3,165,329,276,435
Pterophyllum_Scalare_B,7.3,769,474,810,539
G_Matriarche,7.3,750,374,778,454
Pterophyllum_Scalare_BB,7.3,129,237,177,329
Pterophyllum_Scalare_W,7.3,615,375,669,436
G_Matriarche,7.4,755,376,782,453
Botia_Almorhae,7.4,156,312,266,420
Pterophyllum_Scalare_Y,7.4,1062,125,1122,191
Pterophyllum_Scalare_YWB,7.4,796,382,902,491
Pterophyllum_Scalare_B,7.4,771,474,811,537
Pterophyllum_Scalare_W,7.4,611,376,667,437
Pterophyllum_Scalare_BB,7.4,129,237,176,330
G_Matriarche,7.5,762,382,787,430
Pterophyllum_Scalare_YWB,7.5,793,384,901,492
Pterophyllum_Scalare_B,7.5,775,475,812,537
Pterophyllum_Scalare_W,7.5,608,377,663,434
Pterophyllum_Scalare_Y,7.5,1064,123,1126,190
Botia_Almorhae,7.5,152,303,250,409
Pterophyllum_Scalare_BB,7.5,129,238,176,332
G_Matriarche,7.5,763,382,788,453
Pterophyllum_Scalare_YWB,7.6,791,385,897,494
Pterophyllum_Scalare_Y,7.6,1065,125,1126,191
Pterophyllum_Scalare_W,7.6,605,379,654,432
Pterophyllum_Scalare_BB,7.6,128,239,175,329
Pterophyllum_Scalare_BB,7.7,131,240,174,318
Ancistrus,7.7,537,666,671,714
Pterophyllum_Scalare_YWB,7.7,793,384,897,495
Pterophyllum_Scalare_Y,7.7,1066,124,1126,190
Botia_Almorhae,7.7,130,293,243,387
G_Matriarche,7.7,755,410,800,457
Pterophyllum_Scalare_W,7.7,599,380,648,426
Pterophyllum_Scalare_W,7.8,598,383,642,424
Ancistrus,7.8,537,665,670,716
Pterophyllum_Scalare_Y,7.8,1064,125,1127,189
Pterophyllum_Scalare_YWB,7.8,793,385,894,497
Botia_Almorhae,7.8,129,287,232,384
G_Matriarche,7.8,755,411,808,460
